Designator,Mid X,Mid Y,Rotation,Layer
C1,161.745859,-86.375,0.0,top
C11,150.02,-91.035,180.0,top
C12,151.145859,-99.055,225.0,top
C13,149.965859,-96.245,315.0,top
C14,160.405859,-88.615,45.0,top
C15,161.105859,-91.505,0.0,top
C16,152.115859,-99.545,225.0,top
C17,149.376448,-99.994411,45.0,top
C18,129.0,-79.37,90.0,top
C2,166.053359,-98.785,180.0,top
C3,163.053359,-96.285,90.0,top
C4,161.71,-93.94,0.0,top
C6,161.665859,-88.795,45.0,top
C7,161.425859,-92.665,0.0,top
C8,154.525859,-87.595,90.0,top
C9,158.535859,-97.955,0.0,top
D1,147.0,-58.635,180.0,top
D10,147.0,-62.135,180.0,top
D11,158.75,-62.135,180.0,top
D12,170.5,-62.135,180.0,top
D13,127.26,-80.2,0.0,top
D14,147.0,-71.635,180.0,top
D15,159.0,-71.635,180.0,top
D16,170.5,-71.635,180.0,top
D17,162.865859,-103.635,180.0,top
D18,167.115859,-103.635,0.0,top
D19,147.0,-80.885,180.0,top
D2,158.75,-58.635,180.0,top
D20,158.75,-80.885,180.0,top
D21,170.5,-80.885,180.0,top
D3,170.5,-58.635,180.0,top
D4,147.0,-67.635,180.0,top
D5,158.75,-67.635,180.0,top
D6,170.5,-67.635,180.0,top
D7,147.0,-77.385,180.0,top
D8,158.75,-77.385,180.0,top
D9,170.5,-77.385,180.0,top
J1,173.615859,-93.735,90.0,top
J2,151.51,-104.385,90.0,top
L1,120.195,-80.127,270.0,top
R1,159.925859,-86.795,135.0,top
R10,165.25,-58.635,0.0,top
R11,151.345859,-97.425,45.0,top
R12,141.75,-67.635,0.0,top
R13,153.5,-67.635,0.0,top
R14,165.25,-67.635,0.0,top
R15,141.75,-77.385,0.0,top
R16,153.5,-77.385,0.0,top
R17,165.25,-77.385,0.0,top
R18,141.75,-62.135,0.0,top
R19,153.5,-62.135,0.0,top
R2,159.065859,-85.205,180.0,top
R20,165.25,-62.135,0.0,top
R21,141.75,-71.635,0.0,top
R22,153.5,-71.635,0.0,top
R23,165.25,-71.635,0.0,top
R24,127.26,-78.54,180.0,top
R25,162.865859,-101.735,180.0,top
R26,167.125859,-101.695,0.0,top
R27,141.75,-80.885,0.0,top
R28,153.5,-80.885,0.0,top
R29,165.25,-80.885,0.0,top
R3,167.715859,-94.635,90.0,top
R4,167.715859,-91.335,90.0,top
R5,155.3,-101.205,180.0,top
R6,163.279659,-89.885,180.0,top
R7,163.855859,-90.885,180.0,top
R8,141.75,-58.635,0.0,top
R9,153.5,-58.635,0.0,top
SW1,166.465859,-86.165,180.0,top
SW2,141.5,-97.135,270.0,top
SW3,134.65,-97.135,270.0,top
U1,166.053359,-96.285,180.0,top
U3,157.755859,-87.465,315.0,top
U4,155.284488,-93.735,45.0,top
U5,124.93,-79.37,90.0,top
Y1,147.875859,-97.745,135.0,top
